doi,year,title,venue,reason,basis,notes
10.1007/978-3-319-23231-7_6,2015,Unsupervised Classification of Raw Full-Waveform Airborne Lidar Data by Self Organizing Maps,International Conference on Image Analysis and Processing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1111/1365-2664.13133,2018,Quantifying floristic and structural forest maturity: An attribute‐based method for wet eucalypt forests,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2008,Comparison of methods to estimate individual tree attributes using color aerial photographs and LiDAR data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/jstars.2016.2594133,2016,Exploring the Capability of ALOS PALSAR L-Band Fully Polarimetric Data for Land Cover Classification in Tropical Environments,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.6090/jarq.49.377,2015,Extreme Learning Machine-based Crop Classification using ALOS/PALSAR Images,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.asr.2021.10.049,2021,Predicting Forest Stand Attributes Using the Integration of Airborne Laser Scanning and Worldview-3 Data in a Mixed Forest in Turkey,Advances in Space Research,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s11707-022-1011-4,2023,Fine classification of rice paddy using multitemporal compact polarimetric SAR C band data based on machine learning methods,Frontiers in Earth Science,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/00049158.2011.10676340,2011,Using airborne laser scanning data to estimate structural attributes of natural eucalypt regrowth forests,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2010,A Study of Supervised Land-cover Classification by ALOS/PALSAR Polarimetric Interferometry,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2007,SUPERVISED CLASSIFICATION USING AERIAL PHOTOGRAPHS AND LIDAR DATA,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.18520/cs/v110/i11/2166-2169,2016,Discrimination of Basmati and Non-Basmati Rice Types Using Polarimetric Target Decomposition of Temporal Sar Data,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2010,A Method for Urban Vegetation Classification Using Airborne LiDAR Data and High Resolution Remote Sensing Images,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,1985,Forest discrimination with multipolarization imaging radar,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s00027-018-0607-y,2018,Changes in benthic invertebrate communities of central Appalachian streams attributed to hemlock woody adelgid invasion,Aquatic Sciences,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/raece.2015.7510200,2015,An approach to use polarimetric signature for land cover classification,2015 National Conference on Recent Advances in Electronics & Computer Engineering (RAECE),not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/978-94-017-8663-8_10,2014,A Model-Based Approach for the Recovery of Forest Attributes Using Airborne Laser Scanning Data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2014.6946542,2014,Fusion of hyperspectral and LiDAR data for forest attributes estimation,2014 IEEE Geoscience and Remote Sensing Symposium,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2005,Polarimetric Classification Using the Cloude/Pottier Decomposition,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/apsar.2009.5374216,2009,A new method for polarimetric SAR image classification,2009 2nd Asian-Pacific Conference on Synthetic Aperture Radar,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2012,DECISION TREES ON LIDAR TO CLASSIFY LAND USES AND COVERS,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.1994.399050,1994,Forest age discrimination from texture measures of SAR imagery,IEEE International Geoscience and Remote Sensing Symposium,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2020,Forage accumulation and morphogenetic and structural characteristics of Megathyrsus maximus cv. Tamani under defoliation intensities,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1117/12.2227499,2016,"Classification of nanoparticle diffusion processes in vital cells by a multifeature random forests approach: application to simulated data, darkfield, and confocal laser scanning microscopy",SPIE Photonics Europe,off-topic,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2016.1213920,2016,Tree species classification based on stem-related feature parameters derived from static terrestrial laser scanning data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2012,The impact of lidar point density on classifying tree genus: using geometric features and vertical profile features,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2012,GENETIC ALGORITHMS AND DATA MINING APPLIED TO OPTICAL ORBITAL AND LIDAR DATA FOR OBJECT-BASED CLASSIFICATION OF URBAN LAND COVER,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s12145-023-01050-3,2023,A Conditional Generative Adversarial Network for urban area classification using multi-source data,Earth Science Informatics,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2008,"LAND COVER CLASSIFICATION USING MULTI-SOURCE DATA FUSION OF ENVISAT-ASAR AND IRS P6 LISS-III SATELLITE DATA – A CASE STUDY OVER TROPICAL MOIST DECIDUOUS FORESTED REGIONS OF KARNATAKA, INDIA",,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1117/12.200744,1995,Discriminating forest cuts with ERS-1 radar imagery,Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,1997,Manipulating canopy structure in cassava intercropped with cowpea and its effects on cowpea insect population densities,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,1991,Multi-frequency and polarimetric radar backscatter signatures for discrimination between agricultural crops at the Flevoland experimental test site,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.srs.2025.100310,2025,Transferability of country-wide airborne laser scanning-based models for individual-tree attributes,Science of Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2009,Water classification using 3D airborne laser scanning point clouds,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.1995.520473,1995,Forest discrimination using SAR multifrequency and multipolarization data,"1995 International Geoscience and Remote Sensing Symposium, IGARSS '95. Quantitative Remote Sensing for Science and Applications",no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.1998.703656,1998,Distinguishing open land areas from forest using single ERS SAR images,IGARSS '98. Sensing and Managing the Environment. 1998 IEEE International Geoscience and Remote Sensing. Symposium Proceedings. (Cat. No.98CH36174),no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/whispers.2016.8071665,2016,Tree species classification with hyperspectral imaging and lidar,Workshop on Hyperspectral Image and Signal Processing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s11069-021-04780-z,2021,An evolutionary approach for spatial prediction of landslide susceptibility using LiDAR and symbolic classification with genetic programming,Natural Hazards,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.20659/jfp.13.special_issue_303,2008,Estimation of Stand Attributes in Cryptomeria japonica and Chamaecyparis obtusa Stands from Single Tree Detection using Small-Footprint Airborne LiDAR Data( Silvilaser),,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s12524-013-0319-7,2014,Discrimination between Babul plantations and Mustard crop using Polarimetric C- and L- band data,Journal of the Indian Society of Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.foreco.2023.121312,2023,Can models for forest attributes based on airborne laser scanning be generalized for different silvicultural management systems?,Forest Ecology and Management,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2017,Classifying Mangroves in Vietnam using Radar and Optical Satellite Remote Sensing: Processing Sentinel-1 and Sentinel-2 Imagery in Google Earth Engine,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2015,Using small area estimation and Lidar-derived variables for multivariate prediction of forest attributes,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2019,Fusion of Hyperspectral and LiDAR Data for Land Cover Classification,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2010,Classification of Full-waveform Airborne Laser Scanning Data and Extraction of Attributes of Vegetation for Topographic Mapping,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2008,Urban Landscape Classification System Using Airborne LiDAR,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2016.7729379,2016,LiDAR information extraction by attribute filters with partial reconstruction,IEEE International Geoscience and Remote Sensing Symposium,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2009.5417718,2009,Karst forest type discrimination in southwest China using spaceborne polarimetric SAR data,IEEE International Geoscience and Remote Sensing Symposium,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2010,Fusion of multispectral and LIDAR remote sensing data for the estimation of forest attributes in an Alpine region,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2013,"Estimation and modeling of forest attributes across large spatial scales using BiomeBGC, high-resolution imagery, LiDAR data, and inventory data.",,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s43538-023-00218-1,2023,Discrimination of pearl millet in the rainfed agroecosystem using multitemporal sentinel-1 SAR data,Proceedings of Indian National Science Academy,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1117/12.818607,2009,Fundamental relationships inherent to lidar waveforms for classification,Defense + Commercial Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5721/itjrs20104213,2010,Discrimination of wheat crop by using co-polarized ratio derived from ASAR data,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2013.6721119,2013,MAUP and LiDAR derived canopy structure (A CRCSI 2.07 woody attribution paper),IEEE International Geoscience and Remote Sensing Symposium,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2015,Feature based tree sepcies classification using airborne hyperspectral and LiDAR data for the Bavarian Forerst National Park,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1117/12.872954,2009,Characteristics of full-waveform lidar data from typical objects and its potential in point cloud classification,International Symposium on Digital Earth,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2017,COMPARISON OF PolSAR AND PolInSAR COHERENCE BASED LAND USE/LAND COVER CLASSIFICATION,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2006.706,2006,Hierarchical Land-Use Classification Using Optical Imagery and LiDAR Data,2006 IEEE International Symposium on Geoscience and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1117/12.668736,2006,Analysis of LIDAR and spectral imagery for scene classification in forested areas,SPIE Defense + Commercial Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2010,The suitability of LiDAR-derived forest attributes for use in individual-tree distance-dependent growth-and-yield modeling,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2013,Classifying Indonesian Plantation And Natural Forest Cover And Measuring Changes With C-And L-Band SAR Data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1117/12.177190,1994,Use of interferometric SAR for height measurement and discrimination,"Defense, Security, and Sensing",no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2014,Exploring small-footprint full-waveform LiDAR derived canopy metrics for tree species classification in subtropical forests,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1006/dspr.1999.0338,1999,Multiscale Models for Target Detection and Background Discrimination in Synthetic Aperture Radar Imagery,Digit. Signal Process.,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1117/12.912741,2011,Calibration of full-waveform lidar data by range between sensor and target and its impact for landscape classification,International Symposium on Lidar and Radar Mapping Technologies,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.compag.2026.111555,2026,Beyond crown volume: UAV-LiDAR-derived foliated crown volume (FCV) enhances coniferous tree attribute estimation,Computers and Electronics in Agriculture,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/eorsa.2016.7552756,2016,"Effects of voxel size, scan angle and crown structure on the accuracy of tree species classification using airborne full-waveform LiDAR",International Workshop on Earth Observation and Remote Sensing Applications,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2005,The Effect of Speckle Filtering On Sar Texture Discrimination,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2009,Assessment of structural attributes of even-aged Eucalyptus grandis forest plantations using small-footprint discrete return lidar data.,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s41976-025-00248-x,2025,Crop Classification in Uzbekistan Using Random Forest: Integrating Sentinel-1 SAR and Sentinel-2 Optical Data with Ground-Truth Validation,Remote Sensing in Earth Systems Sciences,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1049/cp.2013.0125,2013,Forest and non-forest discrimination using PolSAR data based on K-Wishart distribution,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2007,A WRAPPED-SURFACE RECONSTRUCTION METHOD OF LIDAR POINTS TO IDENTIFY TREE CROWN ATTRIBUTES,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.2139/ssrn.4104346,2022,Development of Generalized Estimation Models of Forest Inventory Attributes Using an Exhaustive Combination of Airborne Lidar-Derived Metrics,Social Science Research Network,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2009.5417829,2009,Forest type discrimination using polarimetric Radarsat 2 data,IEEE International Geoscience and Remote Sensing Symposium,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2008,Comparing Semi-Automated Methods for Classifying Multibeam SoNAR & Airborne LiDAR Imagery,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2013.6721142,2013,Woody vegetation landscape feature generation from multispectral and LiDAR data (A CRCSI 2.07 woody attribution paper),IEEE International Geoscience and Remote Sensing Symposium,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/icr.2001.984731,2001,Polarimetric classification of trees,2001 CIE International Conference on Radar Proceedings (Cat No.01TH8559),no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2006,Forest Stand Canopy Structure Attribute Estimation from High Resolution Digital Airborne Imagery,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s12517-021-09031-w,2021,Hyperspectral and LiDAR data fusion in features based classification,Arabian Journal of Geosciences,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2010,Assessing the Accuracy of Lidar as a Forest Inventory Tool Using Individual Stem Identification and Attribution,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.1995.521170,1995,Improvement of classifier and change detection tools in multi-temporal SAR images,"1995 International Geoscience and Remote Sensing Symposium, IGARSS '95. Quantitative Remote Sensing for Science and Applications",no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/aimsec.2011.6011388,2011,Study on forest type classification based on ICESat-GLAS lidar data,"International Conference on Artificial Intelligence, Management Science and Electronic Commerce",no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.agrformet.2025.110995,2026,Quantifying forest structural attributes and aboveground carbon dynamics with terrestrial laser scanning in a temperate deciduous forest,Agricultural and Forest Meteorology,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/ist.2013.6729651,2013,Land classification from LiDAR full-waveforms based on multi-class support vector machines,International Symposium on Telecommunications,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2014,Production of a nationwide forest attribute map of Sweden using airborne laser scanning and national forest inventory plot data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.21203/rs.3.rs-495733/v1,2021,The Norwegian Forest Resource Map SR16: Mapping Forest Attributes Using Heterogeneous Sets of Airborne Laser Scanning and National Forest Inventory Data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,1999,CLASSIFICATION OF VEGETATION COMMUNITIES IN THE TROPICAL SAVANNAS OF NORTHERN AUSTRALIA USING AIRSAR DATA,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s13595-017-0665-7,2017,Evaluation of the use of low-density LiDAR data to estimate structural attributes and biomass yield in a short-rotation willow coppice: an example in a field trial,Annals of Forest Science,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.26760/icgtd2020.v1i1.62,2020,Investigation of Classification Algorithm for Identification of Oil Palm Plantation Using Multiscatter and Multiresolution SAR Data,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2021,Effect of Field Sample Size on Large-Scale Subtropic Forest Inventory Attribute Estimation Based on Airborne Laser Scanner Data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5071/29theubce2021-1cv.10.21,2021,"Estimation and Comparison of Tree Attributes in Young Forest Using Different Remote Sensing: Drone LiDAR, Aerial Photogrammetry, and Open Forest Data",,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.48130/smartfor-0026-0008,2026,An integrated approach for estimating forest attributes by combining handheld mobile laser scanning with forest models in dense canopy environments,Smart Forestry,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2009,Mapping riparian zone attributes from LiDAR data using object-oriented image analysis,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2014,Estimation of Stand Attributes in Cryptomeriajaponica Chamaecyparis obtusa Stands firom Single Tteee Detection using Small-Footprint Airborne LiDAR Data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2018,Classifying UAVSAR PolSAR imagery using target,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2018,Draft Modeling black spruce wood fiber attributes with terrestrial laser scanning,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2012,Video - Assessment of forest attributes using airborne and terrestrial LiDAR - Pt. 1. Presentation by Nicholas Coops,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
